Fiscal Year,Work Location Borough,Regular Gross Paid,OT Hours,Total OT Paid
2020,MANHATTAN,56228.65,310.75,13328.13
2020,BROOKLYN,63151.53,172,6435.57
2020,BROOKLYN,60109.7,12.5,586.8
2020,BRONX,68366.75,9.75,399.43
2020,BROOKLYN,54883.3,176.5,6477.71
2020,MANHATTAN,72562.37,7,337.55
2020,MANHATTAN,68124.48,75.25,3080.76
2020,MANHATTAN,54296.5,332.5,14594.77
2020,MANHATTAN,56228.65,285,12386.33
2020,MANHATTAN,54513.82,448.25,17838.3
2020,BROOKLYN,55195.22,133.5,4909.28
2020,BROOKLYN,58107.91,137.25,5066.55
2020,MANHATTAN,65010.87,180,7090.4
2020,MANHATTAN,71610.91,4.25,167.49
2020,BROOKLYN,67972.6,96.75,3640.25
2020,BROOKLYN,59116.13,0.25,9.39
2020,MANHATTAN,39023.26,757.5,25034.74
2020,MANHATTAN,60020.05,117.5,4387.23
2020,MANHATTAN,69621.79,10.75,411.87
2020,MANHATTAN,50941.01,323.25,12497.48
2020,MANHATTAN,66513.56,66.25,2438.65
2020,MANHATTAN,57366.12,79,2605.34
2020,MANHATTAN,63422.8,39.75,1540.78
2020,BROOKLYN,59471.64,2.75,101.03
2020,BROOKLYN,50925.03,144.5,5030.76
2020,MANHATTAN,46972.69,554.75,19546.41
2020,MANHATTAN,63457.43,88.5,4546.36
2020,MANHATTAN,65625.61,12,541.74
2020,MANHATTAN,63238.74,80.25,3028.32
2020,MANHATTAN,57839.04,143,5893.27
2020,BRONX,56418.9,160.75,6700.63
2020,MANHATTAN,66358.05,14.25,723.86
2020,MANHATTAN,52597.25,303.25,11876.99
2020,MANHATTAN,66513.56,1.5,54.91
2020,MANHATTAN,55977.71,146,6122.41
2020,MANHATTAN,47456.02,335.25,12465.88
2020,MANHATTAN,57471.33,102,3830.6
2020,MANHATTAN,48914.17,352.75,13221.85
2020,BROOKLYN,50281.16,300,10612.17
2020,MANHATTAN,61794.02,3.5,115.67
2020,BROOKLYN,51005.01,73.5,2568.19
2020,BROOKLYN,48631.23,312.75,11179.07
2020,MANHATTAN,56986.38,3,121.39
2020,MANHATTAN,56624.78,9,409.09
2020,BROOKLYN,53866.16,101.25,3448.22
2020,QUEENS,57058.79,87.25,3350.2
